"age_group","value","state","substance"
All,74,California,heroin
12to17,0,Colorado,heroin
18to25,3,Colorado,heroin
26plus,14,Colorado,heroin
All,17,Colorado,heroin
12to17,0,Connecticut,heroin
18to25,1,Connecticut,heroin
26plus,9,Connecticut,heroin
All,10,Connecticut,heroin
12to17,0,Delaware,heroin
18to25,1,Delaware,heroin
26plus,4,Delaware,heroin
All,5,Delaware,heroin
12to17,0,Florida,heroin
18to25,8,Florida,heroin
26plus,36,Florida,heroin
All,45,Florida,heroin
12to17,0,Georgia,heroin
18to25,2,Georgia,heroin
26plus,11,Georgia,heroin
All,14,Georgia,heroin
12to17,0,Hawaii,heroin
18to25,0,Hawaii,heroin
26plus,3,Hawaii,heroin
All,3,Hawaii,heroin
12to17,0,Idaho,heroin
18to25,1,Idaho,heroin
26plus,4,Idaho,heroin
All,4,Idaho,heroin
12to17,0,Illinois,heroin
18to25,4,Illinois,heroin
26plus,22,Illinois,heroin
All,26,Illinois,heroin
12to17,0,Indiana,heroin
18to25,4,Indiana,heroin
26plus,14,Indiana,heroin
All,18,Indiana,heroin
12to17,0,Iowa,heroin
18to25,1,Iowa,heroin
26plus,5,Iowa,heroin
All,6,Iowa,heroin
12to17,0,Kansas,heroin
18to25,1,Kansas,heroin
26plus,10,Kansas,heroin
All,12,Kansas,heroin
12to17,0,Kentucky,heroin
18to25,2,Kentucky,heroin
26plus,12,Kentucky,heroin
All,15,Kentucky,heroin
12to17,0,Louisiana,heroin
18to25,1,Louisiana,heroin
26plus,9,Louisiana,heroin
All,11,Louisiana,heroin
12to17,0,Maine,heroin
18to25,1,Maine,heroin
26plus,6,Maine,heroin
All,7,Maine,heroin
12to17,0,Maryland,heroin
18to25,2,Maryland,heroin
26plus,10,Maryland,heroin
All,12,Maryland,heroin
12to17,0,Massachusetts,heroin
18to25,3,Massachusetts,heroin
26plus,19,Massachusetts,heroin
All,23,Massachusetts,heroin
12to17,0,Michigan,heroin
18to25,4,Michigan,heroin
26plus,23,Michigan,heroin
All,27,Michigan,heroin
12to17,0,Minnesota,heroin
18to25,2,Minnesota,heroin
26plus,11,Minnesota,heroin
All,14,Minnesota,heroin
12to17,0,Mississippi,heroin
18to25,1,Mississippi,heroin
26plus,4,Mississippi,heroin
All,5,Mississippi,heroin
12to17,0,Missouri,heroin
18to25,3,Missouri,heroin
26plus,11,Missouri,heroin
All,14,Missouri,heroin
12to17,0,Montana,heroin
18to25,1,Montana,heroin
26plus,3,Montana,heroin
All,3,Montana,heroin
12to17,0,Nebraska,heroin
18to25,1,Nebraska,heroin
26plus,3,Nebraska,heroin
All,4,Nebraska,heroin
12to17,0,Nevada,heroin
18to25,1,Nevada,heroin
26plus,5,Nevada,heroin
All,5,Nevada,heroin
12to17,0,New Hampshire,heroin
18to25,1,New Hampshire,heroin
26plus,3,New Hampshire,heroin
All,4,New Hampshire,heroin
12to17,0,New Jersey,heroin
18to25,3,New Jersey,heroin
26plus,27,New Jersey,heroin
All,31,New Jersey,heroin
12to17,0,New Mexico,heroin
18to25,1,New Mexico,heroin
26plus,4,New Mexico,heroin
All,5,New Mexico,heroin
12to17,0,New York,heroin
18to25,6,New York,heroin
26plus,42,New York,heroin
All,49,New York,heroin
12to17,0,North Carolina,heroin
18to25,4,North Carolina,heroin
26plus,20,North Carolina,heroin
All,24,North Carolina,heroin
12to17,0,North Dakota,heroin
18to25,0,North Dakota,heroin
26plus,2,North Dakota,heroin
All,2,North Dakota,heroin
12to17,0,Ohio,heroin
18to25,5,Ohio,heroin
26plus,29,Ohio,heroin
All,34,Ohio,heroin
12to17,0,Oklahoma,heroin
18to25,2,Oklahoma,heroin
26plus,7,Oklahoma,heroin
All,9,Oklahoma,heroin
12to17,0,Oregon,heroin
18to25,2,Oregon,heroin
26plus,15,Oregon,heroin
All,17,Oregon,heroin
12to17,0,Pennsylvania,heroin
18to25,9,Pennsylvania,heroin
26plus,35,Pennsylvania,heroin
All,44,Pennsylvania,heroin
12to17,0,Rhode Island,heroin
18to25,0,Rhode Island,heroin
26plus,3,Rhode Island,heroin
All,3,Rhode Island,heroin
12to17,0,South Carolina,heroin
18to25,2,South Carolina,heroin
26plus,6,South Carolina,heroin
All,8,South Carolina,heroin
12to17,0,South Dakota,heroin
18to25,0,South Dakota,heroin
26plus,1,South Dakota,heroin
All,2,South Dakota,heroin
12to17,0,Tennessee,heroin
18to25,4,Tennessee,heroin
26plus,13,Tennessee,heroin
All,17,Tennessee,heroin
12to17,0,Texas,heroin
18to25,7,Texas,heroin
26plus,27,Texas,heroin
All,34,Texas,heroin
12to17,0,Utah,heroin
18to25,1,Utah,heroin
26plus,6,Utah,heroin
All,7,Utah,heroin
12to17,0,Vermont,heroin
18to25,0,Vermont,heroin
26plus,3,Vermont,heroin
All,3,Vermont,heroin
12to17,0,Virginia,heroin
18to25,3,Virginia,heroin
26plus,15,Virginia,heroin
All,18,Virginia,heroin
12to17,0,Washington,heroin
18to25,3,Washington,heroin
26plus,19,Washington,heroin
All,23,Washington,heroin
12to17,0,West Virginia,heroin
18to25,1,West Virginia,heroin
26plus,4,West Virginia,heroin
All,5,West Virginia,heroin
12to17,0,Wisconsin,heroin
18to25,3,Wisconsin,heroin
26plus,14,Wisconsin,heroin
All,17,Wisconsin,heroin
12to17,0,Wyoming,heroin
18to25,0,Wyoming,heroin
26plus,1,Wyoming,heroin
All,1,Wyoming,heroin
12to17,36,Alabama,marijuana
18to25,152,Alabama,marijuana
26plus,417,Alabama,marijuana
All,605,Alabama,marijuana
12to17,10,Alaska,marijuana
18to25,29,Alaska,marijuana
26plus,106,Alaska,marijuana
All,146,Alaska,marijuana
12to17,71,Arizona,marijuana
18to25,230,Arizona,marijuana
26plus,666,Arizona,marijuana
All,968,Arizona,marijuana
12to17,27,Arkansas,marijuana
18to25,82,Arkansas,marijuana
26plus,230,Arkansas,marijuana
All,338,Arkansas,marijuana
12to17,477,California,marijuana
18to25,1687,California,marijuana
26plus,4476,California,marijuana
All,6641,California,marijuana
12to17,76,Colorado,marijuana
18to25,286,Colorado,marijuana
26plus,903,Colorado,marijuana
All,1265,Colorado,marijuana
12to17,38,Connecticut,marijuana
18to25,168,Connecticut,marijuana
26plus,377,Connecticut,marijuana
All,583,Connecticut,marijuana
12to17,10,Delaware,marijuana
18to25,38,Delaware,marijuana
26plus,101,Delaware,marijuana
All,149,Delaware,marijuana
12to17,174,Florida,marijuana
18to25,641,Florida,marijuana
26plus,1890,Florida,marijuana
All,2705,Florida,marijuana
12to17,97,Georgia,marijuana
18to25,340,Georgia,marijuana
26plus,873,Georgia,marijuana
All,1310,Georgia,marijuana
12to17,11,Hawaii,marijuana
18to25,36,Hawaii,marijuana
26plus,135,Hawaii,marijuana
All,182,Hawaii,marijuana
12to17,19,Idaho,marijuana
18to25,53,Idaho,marijuana
26plus,133,Idaho,marijuana
All,205,Idaho,marijuana
12to17,133,Illinois,marijuana
18to25,445,Illinois,marijuana
26plus,1170,Illinois,marijuana
All,1748,Illinois,marijuana
12to17,67,Indiana,marijuana
18to25,259,Indiana,marijuana
26plus,603,Indiana,marijuana
All,928,Indiana,marijuana
12to17,29,Iowa,marijuana
18to25,99,Iowa,marijuana
26plus,199,Iowa,marijuana
All,327,Iowa,marijuana
12to17,28,Kansas,marijuana
18to25,96,Kansas,marijuana
26plus,226,Kansas,marijuana
All,349,Kansas,marijuana
12to17,39,Kentucky,marijuana
18to25,137,Kentucky,marijuana
26plus,378,Kentucky,marijuana
All,553,Kentucky,marijuana
12to17,31,Louisiana,marijuana
18to25,129,Louisiana,marijuana
26plus,304,Louisiana,marijuana
All,464,Louisiana,marijuana
12to17,16,Maine,marijuana
18to25,59,Maine,marijuana
26plus,214,Maine,marijuana
All,289,Maine,marijuana
12to17,55,Maryland,marijuana
18to25,237,Maryland,marijuana
26plus,521,Maryland,marijuana
All,813,Maryland,marijuana
12to17,77,Massachusetts,marijuana
18to25,367,Massachusetts,marijuana
26plus,874,Massachusetts,marijuana
All,1318,Massachusetts,marijuana
12to17,101,Michigan,marijuana
18to25,475,Michigan,marijuana
26plus,1189,Michigan,marijuana
All,1765,Michigan,marijuana
12to17,55,Minnesota,marijuana
18to25,220,Minnesota,marijuana
26plus,506,Minnesota,marijuana
All,781,Minnesota,marijuana
12to17,24,Mississippi,marijuana
18to25,78,Mississippi,marijuana
26plus,195,Mississippi,marijuana
All,297,Mississippi,marijuana
12to17,53,Missouri,marijuana
18to25,204,Missouri,marijuana
26plus,506,Missouri,marijuana
All,763,Missouri,marijuana
12to17,12,Montana,marijuana
18to25,44,Montana,marijuana
26plus,124,Montana,marijuana
All,180,Montana,marijuana
12to17,22,Nebraska,marijuana
18to25,73,Nebraska,marijuana
26plus,133,Nebraska,marijuana
All,227,Nebraska,marijuana
12to17,39,Nevada,marijuana
18to25,123,Nevada,marijuana
26plus,451,Nevada,marijuana
All,613,Nevada,marijuana
12to17,15,New Hampshire,marijuana
18to25,64,New Hampshire,marijuana
26plus,173,New Hampshire,marijuana
All,253,New Hampshire,marijuana
12to17,78,New Jersey,marijuana
18to25,304,New Jersey,marijuana
26plus,651,New Jersey,marijuana
All,1033,New Jersey,marijuana
12to17,31,New Mexico,marijuana
18to25,77,New Mexico,marijuana
26plus,250,New Mexico,marijuana
All,358,New Mexico,marijuana
12to17,177,New York,marijuana
18to25,782,New York,marijuana
26plus,1913,New York,marijuana
All,2871,New York,marijuana
12to17,101,North Carolina,marijuana
18to25,329,North Carolina,marijuana
26plus,885,North Carolina,marijuana
All,1316,North Carolina,marijuana
12to17,5,North Dakota,marijuana
18to25,26,North Dakota,marijuana
26plus,47,North Dakota,marijuana
All,78,North Dakota,marijuana
12to17,106,Ohio,marijuana
18to25,430,Ohio,marijuana
26plus,1021,Ohio,marijuana
All,1556,Ohio,marijuana
12to17,36,Oklahoma,marijuana
18to25,134,Oklahoma,marijuana
26plus,328,Oklahoma,marijuana
All,497,Oklahoma,marijuana
12to17,55,Oregon,marijuana
18to25,196,Oregon,marijuana
26plus,718,Oregon,marijuana
All,969,Oregon,marijuana
12to17,109,Pennsylvania,marijuana
18to25,436,Pennsylvania,marijuana
26plus,1207,Pennsylvania,marijuana
All,1752,Pennsylvania,marijuana
12to17,12,Rhode Island,marijuana
18to25,55,Rhode Island,marijuana
26plus,145,Rhode Island,marijuana
All,212,Rhode Island,marijuana
12to17,43,South Carolina,marijuana
18to25,139,South Carolina,marijuana
26plus,439,South Carolina,marijuana
All,620,South Carolina,marijuana
12to17,7,South Dakota,marijuana
18to25,24,South Dakota,marijuana
26plus,48,South Dakota,marijuana
All,80,South Dakota,marijuana
12to17,55,Tennessee,marijuana
18to25,203,Tennessee,marijuana
26plus,523,Tennessee,marijuana
All,780,Tennessee,marijuana
12to17,271,Texas,marijuana
18to25,817,Texas,marijuana
26plus,1774,Texas,marijuana
All,2862,Texas,marijuana
12to17,32,Utah,marijuana
18to25,104,Utah,marijuana
26plus,178,Utah,marijuana
All,314,Utah,marijuana
12to17,9,Vermont,marijuana
18to25,38,Vermont,marijuana
26plus,100,Vermont,marijuana
All,148,Vermont,marijuana
12to17,61,Virginia,marijuana
18to25,287,Virginia,marijuana
26plus,518,Virginia,marijuana
All,866,Virginia,marijuana
12to17,89,Washington,marijuana
18to25,336,Washington,marijuana
26plus,1199,Washington,marijuana
All,1624,Washington,marijuana
12to17,15,West Virginia,marijuana
18to25,58,West Virginia,marijuana
26plus,144,West Virginia,marijuana
All,217,West Virginia,marijuana
12to17,53,Wisconsin,marijuana
18to25,201,Wisconsin,marijuana
26plus,466,Wisconsin,marijuana
All,720,Wisconsin,marijuana
12to17,6,Wyoming,marijuana
18to25,18,Wyoming,marijuana
26plus,38,Wyoming,marijuana
All,61,Wyoming,marijuana
12to17,1,Alabama,meth
18to25,5,Alabama,meth
26plus,41,Alabama,meth
All,47,Alabama,meth
12to17,0,Alaska,meth
18to25,1,Alaska,meth
26plus,6,Alaska,meth
All,7,Alaska,meth
12to17,1,Arizona,meth
18to25,11,Arizona,meth
26plus,93,Arizona,meth
All,105,Arizona,meth
12to17,1,Arkansas,meth
18to25,3,Arkansas,meth
26plus,19,Arkansas,meth
All,23,Arkansas,meth
12to17,3,California,meth
18to25,34,California,meth
26plus,278,California,meth
All,315,California,meth
12to17,1,Colorado,meth
18to25,8,Colorado,meth
26plus,34,Colorado,meth
All,43,Colorado,meth
12to17,0,Connecticut,meth
18to25,2,Connecticut,meth
26plus,9,Connecticut,meth
All,11,Connecticut,meth
12to17,0,Delaware,meth
18to25,1,Delaware,meth
26plus,4,Delaware,meth
All,5,Delaware,meth
12to17,2,Florida,meth
18to25,11,Florida,meth
26plus,63,Florida,meth
All,76,Florida,meth
12to17,1,Georgia,meth
18to25,6,Georgia,meth
26plus,40,Georgia,meth
All,48,Georgia,meth
12to17,0,Hawaii,meth
18to25,1,Hawaii,meth
26plus,14,Hawaii,meth
All,15,Hawaii,meth
12to17,0,Idaho,meth
18to25,2,Idaho,meth
26plus,9,Idaho,meth
All,12,Idaho,meth
12to17,1,Illinois,meth
18to25,4,Illinois,meth
26plus,36,Illinois,meth
All,41,Illinois,meth
12to17,2,Indiana,meth
18to25,11,Indiana,meth
26plus,39,Indiana,meth
All,52,Indiana,meth
12to17,1,Iowa,meth
18to25,4,Iowa,meth
26plus,25,Iowa,meth
All,29,Iowa,meth
12to17,1,Kansas,meth
18to25,4,Kansas,meth
26plus,26,Kansas,meth
All,31,Kansas,meth
12to17,1,Kentucky,meth
